Model,MAE,RMSE,R2
Linear Regression,436180.5729109218,559891.1871094676,0.7421237592030419
Random Forest,340531.14458734274,456809.88250538456,0.8225929017632765
Gradient Boosting,328845.40186918125,456524.4298697085,0.8239127171042503
